chave,ITEM,NUMPEDVEN,QTCOMP,STATUS,AUTORIZADO
52916860300630,7809453,1155325913,1,AUTORIZADO,Autorizado
48615087300630,7784583,1155343551,1,AUTORIZADO,Autorizado
52917060300630,7825880,1155448009,1,AUTORIZADO,Autorizado
52916960300630,7825880,1155443408,1,AUTORIZADO,Autorizado
52917160300630,8041005,1155395564,2,AUTORIZADO,Autorizado
52917260300630,7585548,1155017289,1,AUTORIZADO,Autorizado
52917260300630,7802539,1155017289,1,AUTORIZADO,Autorizado
52917260300630,7998294,1155017289,1,AUTORIZADO,Autorizado
52917360300630,6703783,1155425108,2,AUTORIZADO,Autorizado
52917460300630,8041005,1155429602,15,AUTORIZADO,Autorizado
52917560300630,7636387,1155059314,2,AUTORIZADO,Autorizado
52917560300630,7836374,1155059314,2,AUTORIZADO,Autorizado
52917560300630,7886300,1155059314,1,AUTORIZADO,Autorizado
52917760300630,7922503,1155392411,1,AUTORIZADO,Autorizado
52917660300630,7883576,1155418831,1,AUTORIZADO,Autorizado
52917860300630,7950704,1155404764,1,AUTORIZADO,Autorizado
52917860300630,7826344,1155404764,1,AUTORIZADO,Autorizado
52917960300630,7914188,1155260140,1,AUTORIZADO,Autorizado
52918360300630,6506674,1155425050,1,AUTORIZADO,Autorizado
52918260300630,6506674,1155286584,1,AUTORIZADO,Autorizado
52918460300630,6506674,1155440694,1,AUTORIZADO,Autorizado
52918060300630,7716102,1154913818,1,AUTORIZADO,Autorizado
52918160300630,6506674,1155278551,1,AUTORIZADO,Autorizado
52918660300630,6506674,1155344811,1,AUTORIZADO,Autorizado
52918760300630,7776779,1154917138,1,AUTORIZADO,Autorizado
48616887300630,6834036,1155290744,1,AUTORIZADO,Autorizado
52918860300630,6175931,1155291529,1,AUTORIZADO,Autorizado
52918960300630,7802539,1154957438,1,AUTORIZADO,Autorizado
52918960300630,7953385,1154957438,1,AUTORIZADO,Autorizado
52918960300630,7854965,1154957438,1,AUTORIZADO,Autorizado
52919060300630,7863653,1155330777,1,AUTORIZADO,Autorizado
48617587300630,8018861,1155335485,1,AUTORIZADO,Autorizado
52919160300630,7453755,1154966177,1,AUTORIZADO,Autorizado
52919260300630,8039750,1155341480,2,AUTORIZADO,Autorizado
52919360300630,5254163,1155035444,1,AUTORIZADO,Autorizado
52919460300630,7751233,1155198618,1,AUTORIZADO,Autorizado
439272925002500,7419621,1155289516,1,AUTORIZADO,Autorizado
52919560300630,5866151,1155228719,2,AUTORIZADO,Autorizado
50628721590640,6983925,1154387755,1,AUTORIZADO,Autorizado
50628821590640,7923678,1154393716,1,AUTORIZADO,Autorizado
86955012590640,5933006,1154415773,1,AUTORIZADO,Autorizado
86955012590640,7473395,1154415773,1,AUTORIZADO,Autorizado
50629021590640,7994661,1154538689,1,AUTORIZADO,Autorizado
50629121590640,7970481,1154545455,1,AUTORIZADO,Autorizado
50629221590640,7956744,1154728985,1,AUTORIZADO,Autorizado
272855729002910,7955372,1154274872,1,AUTORIZADO,Autorizado
272856729002910,902113,1155311012,1,AUTORIZADO,Autorizado
50629321590640,7456909,1154727956,1,AUTORIZADO,Autorizado
606569529002910,7825880,1155323085,1,AUTORIZADO,Autorizado
606572529002910,5866151,1155330088,1,AUTORIZADO,Autorizado
272862729002910,6834203,1155336887,2,AUTORIZADO,Autorizado
606574529002910,7886300,1155338735,1,AUTORIZADO,Autorizado
606576529002910,5866151,1155342871,1,AUTORIZADO,Autorizado
606578529002910,8012432,1155352637,1,AUTORIZADO,Autorizado
606580529002910,7956706,1155372754,1,AUTORIZADO,Autorizado
52919660300630,8041005,1155234019,8,AUTORIZADO,Autorizado
606582529002910,7825880,1155377953,1,AUTORIZADO,Autorizado
606584529002910,7860737,1155387190,1,AUTORIZADO,Autorizado
606586529002910,5866151,1155387714,1,AUTORIZADO,Autorizado
52919860300630,7846250,1155302614,1,AUTORIZADO,Autorizado
52919760300630,5590117,1155165357,4,AUTORIZADO,Autorizado
606588529002910,7774102,1155399129,2,AUTORIZADO,Autorizado
606590529002910,7908651,1155401647,2,AUTORIZADO,Autorizado
52919960300630,7361791,1155173184,1,AUTORIZADO,Autorizado
48618487300630,7923173,1155195373,1,AUTORIZADO,Autorizado
48618687300630,7973499,1155253824,1,AUTORIZADO,Autorizado
606592529002910,6016067,1155403253,1,AUTORIZADO,Autorizado
48618787300630,8028136,1155272463,1,AUTORIZADO,Autorizado
52920060300630,7726941,1155200463,2,AUTORIZADO,Autorizado
52920160300630,8057860,1155230388,1,AUTORIZADO,Autorizado
52920260300630,7436925,1155237348,4,AUTORIZADO,Autorizado
52920360300630,7756320,1155428913,1,AUTORIZADO,Autorizado
52920460300630,7825880,1155428399,1,AUTORIZADO,Autorizado
86955112590640,5866151,1155178170,1,AUTORIZADO,Autorizado
86955212590640,6470340,1155186843,1,AUTORIZADO,Autorizado
86955312590640,7774461,1155188619,1,AUTORIZADO,Autorizado
86955412590640,7956621,1155192803,1,AUTORIZADO,Autorizado
86955512590640,7674044,1155204869,1,AUTORIZADO,Autorizado
86955612590640,7879432,1155228742,1,AUTORIZADO,Autorizado
86955712590640,7825880,1155275524,1,AUTORIZADO,Autorizado
86955812590640,6646448,1155284725,1,AUTORIZADO,Autorizado
86955912590640,6634674,1155285340,1,AUTORIZADO,Autorizado
86956012590640,7825880,1155289044,1,AUTORIZADO,Autorizado
86956112590640,7986246,1155294625,1,AUTORIZADO,Autorizado
86956212590640,7825880,1155303605,1,AUTORIZADO,Autorizado
86956312590640,7756627,1155329265,1,AUTORIZADO,Autorizado
86956412590640,7871078,1155341876,1,AUTORIZADO,Autorizado
86956512590640,7360374,1155355165,6,AUTORIZADO,Autorizado
86956612590640,7825880,1155378749,1,AUTORIZADO,Autorizado
50634521590640,5254170,1155379571,1,AUTORIZADO,Autorizado
86956712590640,7825880,1155381407,1,AUTORIZADO,Autorizado
86956812590640,6902070,1155382581,1,AUTORIZADO,Autorizado
86956912590640,7825880,1155386154,1,AUTORIZADO,Autorizado
86957012590640,7825880,1155389744,1,AUTORIZADO,Autorizado
86957112590640,7392931,1155390695,1,AUTORIZADO,Autorizado
86957212590640,7825880,1155394391,1,AUTORIZADO,Autorizado
86957312590640,6635244,1155409698,1,AUTORIZADO,Autorizado
86957412590640,7825880,1155410044,1,AUTORIZADO,Autorizado
86957512590640,5661039,1155412836,1,AUTORIZADO,Autorizado
86957612590640,7825880,1155416950,1,AUTORIZADO,Autorizado
52920660300630,8041005,1155390497,2,AUTORIZADO,Autorizado
52920760300630,7871153,1155154736,2,AUTORIZADO,Autorizado
52920860300630,7906626,1155323089,1,AUTORIZADO,Autorizado
52920960300630,7809286,1155169539,2,AUTORIZADO,Autorizado
52921060300630,7809286,1155177795,2,AUTORIZADO,Autorizado
52921160300630,7809286,1155182408,2,AUTORIZADO,Autorizado
1584895490490,7971099,1155363075,1,AUTORIZADO,Autorizado
1584985490490,7971242,1155417260,1,AUTORIZADO,Autorizado
52921260300630,7809286,1155183986,2,AUTORIZADO,Autorizado
52921360300630,7809286,1155192943,2,AUTORIZADO,Autorizado
439297925002500,7891595,1155413921,1,AUTORIZADO,Autorizado
52921460300630,7809286,1155214616,2,AUTORIZADO,Autorizado
52921560300630,7809286,1155215553,2,AUTORIZADO,Autorizado
52921760300630,7809286,1155218600,2,AUTORIZADO,Autorizado
52921660300630,8041005,1155402678,10,AUTORIZADO,Autorizado
718217694950,7551925,1154082185,1,AUTORIZADO,Autorizado
718218694950,5922185,1154892522,1,AUTORIZADO,Autorizado
718219694950,7789328,1154938145,1,AUTORIZADO,Autorizado
718220694950,7936784,1154948446,1,AUTORIZADO,Autorizado
52921860300630,7809286,1155221886,2,AUTORIZADO,Autorizado
718221694950,7936784,1154965868,1,AUTORIZADO,Autorizado
718222694950,7600418,1154984286,1,AUTORIZADO,Autorizado
718222694950,7774430,1154984286,1,AUTORIZADO,Autorizado
718222694950,7779916,1154984286,1,AUTORIZADO,Autorizado
718223694950,7507946,1155000212,1,AUTORIZADO,Autorizado
718224694950,7936784,1155002104,1,AUTORIZADO,Autorizado
718225694950,7936784,1155026892,1,AUTORIZADO,Autorizado
718226694950,7583032,1155028622,1,AUTORIZADO,Autorizado
718227694950,6016067,1155052755,2,AUTORIZADO,Autorizado
718228694950,7730931,1155055088,1,AUTORIZADO,Autorizado
52921960300630,7809286,1155228963,2,AUTORIZADO,Autorizado
718229694950,8005045,1155078203,1,AUTORIZADO,Autorizado
718230694950,7848384,1155083628,1,AUTORIZADO,Autorizado
718231694950,7906541,1155093778,1,AUTORIZADO,Autorizado
718232694950,7913969,1155095547,1,AUTORIZADO,Autorizado
718233694950,7360374,1155106682,1,AUTORIZADO,Autorizado
718234694950,8034373,1155201527,1,AUTORIZADO,Autorizado
718235694950,6470340,1155225142,1,AUTORIZADO,Autorizado
718236694950,8007735,1155267017,1,AUTORIZADO,Autorizado
718236694950,7851001,1155267017,1,AUTORIZADO,Autorizado
718236694950,7852374,1155267017,1,AUTORIZADO,Autorizado
52922060300630,7809286,1155231301,2,AUTORIZADO,Autorizado
718237694950,7825880,1155267659,1,AUTORIZADO,Autorizado
718238694950,7952494,1155327933,1,AUTORIZADO,Autorizado
718239694950,7825880,1155342289,1,AUTORIZADO,Autorizado
718240694950,7892301,1155356499,3,AUTORIZADO,Autorizado
718241694950,5039715,1155385836,1,AUTORIZADO,Autorizado
718242694950,6586065,1155389351,1,AUTORIZADO,Autorizado
50635821590640,7716102,1154486304,1,AUTORIZADO,Autorizado
50635821590640,6825201,1154486304,1,AUTORIZADO,Autorizado
718243694950,8007971,1155401774,1,AUTORIZADO,Autorizado
50635921590640,3946480,1154539030,1,AUTORIZADO,Autorizado
50636021590640,7963841,1154541209,1,AUTORIZADO,Autorizado
718244694950,7825880,1155418899,1,AUTORIZADO,Autorizado
50636121590640,8042262,1154550185,1,AUTORIZADO,Autorizado
50636321590640,6627416,1154743466,1,AUTORIZADO,Autorizado
718245694950,6932411,1155420283,1,AUTORIZADO,Autorizado
50636221590640,8001320,1154711381,1,AUTORIZADO,Autorizado
50636421590640,7768323,1154785276,1,AUTORIZADO,Autorizado
50636421590640,7922695,1154785276,1,AUTORIZADO,Autorizado
718246694950,7825880,1155430700,1,AUTORIZADO,Autorizado
50636521590640,7518836,1154785277,1,AUTORIZADO,Autorizado
50636521590640,7950988,1154785277,1,AUTORIZADO,Autorizado
52922160300630,7809286,1155249166,2,AUTORIZADO,Autorizado
50636621590640,7743726,1154953257,1,AUTORIZADO,Autorizado
50636721590640,7836046,1155114604,1,AUTORIZADO,Autorizado
